CpdID,Formula,mz,RT,Dust 11,Dust 12,Dust 13,Dust 16,Dust 19,Dust 2,Dust 20,Dust 21,Dust 22,Dust 23,Dust 24,Dust 25,Dust 26,Dust 29,Dust 3,Dust 30,Dust 33,Dust 34,Dust 4,Dust 5,Dust 6,Dust 7,Dust 8,Dust 9
1,C12H10ClN3,230.0490621,9.531166667,0,0,0,0,0,0,0,0,0,0,0,5.651443569,0,0,0,0,0,0,0,0,3.419096831,0,0,0
2,C13H11ClN2O2,243.0329742,10.91928333,0,0,0,0,0,4.137626641,0,0,0,0,0,5.384404382,0,0,0,0,4.530628906,0,0,3.974994547,0,0,0,0
3,C14H13ClN2O2,258.0520528,8.416416667,4.878826782,4.65665341,4.065036996,5.18018127,4.334735422,4.762682431,4.277033423,4.114495396,4.15095056,4.898166961,5.007898634,3.600784128,5.423764925,4.534993252,3.988083286,4.989825588,4.587564922,4.483455989,3.41522815,4.516384913,4.693861409,4.843583563,4.997745667,4.490201269
4,C14H13ClN4O3,355.0370483,9.534766667,5.557172103,5.177502096,4.221896265,4.653380733,4.319805927,4.764401286,3.702526835,3.809756637,0,5.079897806,5.090691805,0,4.9249181,4.777574041,4.133975466,4.718264087,4.756676215,4.465770135,0,4.33741324,5.059650702,5.11296896,5.294478007,4.529411153
5,C15H18ClN5O3S,383.0778503,9.9616,5.72657848,5.84945554,4.952135754,6.492023558,5.493948925,5.95580806,5.174038082,4.045630564,0,5.959821348,5.452790826,0,5.850513944,5.710827856,5.637424993,5.677668905,5.794194424,5.505055433,0,4.128678578,3.881365847,5.901016071,6.150504921,5.705734388
6,C16H10ClN3O3,327.0417684,10.93128333,5.075380819,4.760659599,4.343759554,5.150759461,4.536076952,4.67570135,4.383041033,4.192276872,4.39105305,4.927373852,4.728413455,5.038689691,4.660720884,4.748244825,4.363520574,4.575053596,4.543875041,4.573847423,4.414347457,4.462359914,4.591423543,4.708758302,4.797143576,4.779743568
7,C16H12Cl2N4O4,395.0134583,10.96193333,5.283694842,5.250407993,5.280516589,5.237215592,5.196844321,5.441098111,5.26518661,5.433035742,5.364515848,5.455454587,5.341409514,5.671570118,5.293442976,5.290144215,5.00854525,5.316001684,5.307840676,5.4941589,5.231546641,5.456446554,5.143806997,5.173649736,5.453200145,5.294269668
8,C16H13ClN4O4,395.0320231,9.534716667,6.805938636,6.299867599,5.569173324,6.823766367,6.031906809,6.103684274,5.522915075,5.504702688,4.580740997,6.455192918,6.520937438,3.58610719,6.260928542,6.293474843,5.557207393,6.362168469,5.997369071,5.76172788,3.75525867,5.631334389,6.24802387,6.347331967,6.51695948,5.815090596
9,C16H15Cl3N4O4,432.0166117,9.535266667,0,4.882410151,0,4.750235338,3.659617407,4.713426847,3.624786661,0,0,4.257485407,0,0,4.437155558,4.793176797,4.048951278,4.37607482,3.894508846,4.430397214,0,4.150963683,4.252190431,4.551268305,5.299184877,4.767833429
10,C16H16Cl2N4O2,365.0575867,9.470133333,5.69518609,5.306653173,4.566409869,5.87544501,4.786318303,5.209073039,4.271305529,4.092260623,0,5.846802052,5.200485841,0,5.245066578,5.038283502,4.80387311,4.998131199,5.134818798,4.898291596,0,4.687734195,5.160916719,5.482285227,5.321848273,4.823264439
